009-第9课.md:342	缠中说禅 于2006/11/23 12:13:02 回复到:
031-第31课.md:243	有一些问题,烦请姐姐指点,谢谢!(放假就不问了!)一、以下判断对吗?1、 2个中枢趋势背驰组成: 1个大一级别中枢+A一段上涨(包含2个本级中枢由次级别三段构成)+B 1个大一级别中枢+C 一段上涨(包含2个本级中枢由次级别三段构成),每一段上涨可以在次一级别背驰卖出,再在大一级别中枢形成的盘整一、二、三类买点买入==最好就是先按资金量定好操作的级别，例如30分钟，只在30分钟进入背驰段后，用5、1以及1以下的背驰精确定位后卖出，这样就不用一见1分钟背驰都很紧张去卖，那太累了。2、1个中枢盘整背驰组成：A 一段上涨(包含2个本级中枢由次级别三段构成)+B 1个大一级别中枢+C 一段上涨(包含2个本级中枢由次级别三段构成)，例如姐姐在第24课上海5分钟图盘整背驰，c段的中枢是30分种中枢?B段有30分钟中枢还是没形成中枢？==前面都有精确的定义的，自己去找一下。二、成本为0后筹码增加前提是在一个大级别上涨中进行是吗？然后在大级别上涨背驰彻底卖出吗？这级别是在2个周线中枢还是月线中枢形成后？如果超长线,n年牛市一股票n年上涨,可以一直不卖?==这和你的资金以及行情有关，如果是一个大牛市，当然要到月线背驰再说。盘整的时候短差比较简单，单边上涨中，技术要求比较高。三、昨天1分钟大盘第三类买点当时形成时如何判断下跌已完成,用macd如果一段红,一段绿,绿的变短了就是底是吗?如果只有一种颜色,以该线变短为准对吗?上涨情况同理吗?==前面有，找次次级别的第一类买点。
031-第31课.md:245	**最好就是先按资金量定好操作的级别，例如30分钟，只在30分钟进入背驰段后，用5、1以及1以下的背驰精确定位后卖出，这样就不用一见1分钟背驰都很紧张去卖，那太累了。**
031-第31课.md:297	前面说过了，买之前必须认真分析，有足够信心才买，买就一次性买，留点机动性资金就可以。千万别追着买，股票几千只，不要一棵树吊死。
031-第31课.md:324	如果你资金量不大，又能短线操作，那看30分钟的买点就足够了。当然，最好日线不能在背弛段里。
031-第31课.md:355	[匿名] 无敌槟榔 2007-02-26 17:04:45根据LZ文章内容,今日重仓建了66,为本地与低价概念,但介入位置不是很理想,未能在上午10:00动手,结果跑了一段路才上车.这将是第二次利用LZ理论进行操作,上次是试手,这次把我小本买卖集中干66,主要练习做短差,将本金分成5份,4份买货,1份做预备队,买货的半量为短差最大范围,一直操作到LZ说的大级别卖点清仓.改变以前以盈亏百分比判断清仓的方式.有以下问题请LZ指点:1\短差最理想的目的是将成本下1/3还是1/2，剔除价格大幅上升，例如缓升，每天震幅在5%右，时间为1个月，不计其他因素，本人倾向前者；2\以2个月为判断点，买卖系统是以日线加60，还是60加30为妥；谢谢==
031-第31课.md:464	今天过得不容易啊，本来留了一半的清醒想高位出掉手中的货的，可一时犹豫下下午又进了，郁闷ING！
031-第31课.md:476	[匿名] NOVEMBER 2007-02-27 15:44:13缠主能帮忙看看600690么？下面感觉有吻的趋势该补仓还是斩？
031-第31课.md:672	今天好惨，教训呀，今天早上逢高出了部分股票，然后一再叮嘱自己今天坚决不买股票，可是下午仍然忍不住去挂了单，结果全部光荣被套！
031-第31课.md:752	谢谢缠mm的回答，现20%仓位，既然大盘30min级别已形成了两个中枢，有可能进入背弛段，风险加大，请问可以在哪个级别背弛时回补。
032-第32课.md:139	[匿名] 惊鸿一慕 2007-02-28 15:44:33谢谢缠姐姐的理论，昨天在26.67把600888卖了，进入日线背驰段立即清仓！今天下午在23.60又全部补回来了，赚了13％，真爽！缠姐姐，今天600888的低位买点形成了第三类买点，我的理解正确嘛？谢谢==这只能算依然在中枢里的震荡，这个中枢级别很大，一旦往上突破，空间不小，短线就看什么时候突破了，确认以一个至少是日线上的第三类买点为标准。可以参考一下60043222元那次回抽，不过那个中枢没这个大，突破起来就比较轻松。
034-第34课.md:92	2007-03-08 15:42:22老大：怎么样确认是第三买点啊，我今天也判断了两个关键位置：2871和2588，但到了2871回来的时候，总怕而次下探击穿，所以只买了一半的货，怎么样才能确认回调不破中枢高点？
037-第37课.md:263	所有买卖点，归根结底都是第一类买卖点，只是级别不同而已。没有绝对的规则可以预先区分盘整与趋势的，第三类买点后，必然面对两个选择，就是大级别盘整或一个趋势。问题不是去预测究竟最后走出哪个，这样的思维是有问题的，而是当下走出什么情况立刻采取相应的操作策略。对盘整，就是制定好相应的操作策略，把筹码成本降下来，直到出现第三类买卖点为止。
038-第38课.md:126	-其实更好跑一半，变成0成本，这样能获取更大的利益。毕竟很多汽车都是刚上路的。
038-第38课.md:242	今天， 知道要空仓了。 三个股票， 只有一个是按照卖点卖出去的， 其他两个， 有点心急都没有按卖点抛，所以操作上很失误，该赚的钱在面前也没有赚到。
039-第39课.md:50	缠中说禅：2007-03-23 15:18:15 今天大盘没什么可说的，周四、周五的血战已经在周三提前预告。今天中行主动示弱，不让汉奸有借利好出货的机会，为大盘以后的发展留下很大的余地。不过汉奸不会因为这两天的折腾而死心，那两个高点的连线依然在上面，没有效突破前，依然会人心浮动，汉奸依然会随时发难，所以耐心是最重要的，而震荡是稳定人心的最好办法。各股方面，具体的不能说了，免得汉奸有口实，最近打小报告的人忒多，而这又是汉奸的强项。反正前面说的那五个板块，加上最近说的旅游、科技之类的都会陆续表现的。瓜田李下，本ID就不多说，说的都是梦话，如此而已。每日解盘（2007-03-26 15:20:49 ）缠中说禅：2007-03-26 15:20:49今天大盘按这计划走，突破上面的压力线，当然，其有效性还需要确认。中国银行压着不涨，就是对大盘最大的支持，汉奸想捣乱也没机会，其他板块不断轮动，今天10元上下的二线股表现很好，这个势头应该延续。一个最好玩的事情，今天已经有人通过某些渠道散风给本ID，说明天是上次大跌的一个月纪念，又是星期二，明天要全力砸盘，把本ID给毁了，本ID等着，本ID只点火，决不死顶，今天是全民启动，就看汉奸明天怎么表演。个股不说了，三线里有真正题材的还会涨，其他风险，最主要是监管风险比较大。二线是目前最好的选择，10元上下，如果业绩特别好的，在15元上下也可以，都是今后行情的重点。如果不会找，看300成分股，在相应区间不难找到。缠中说禅：2007-03-23 15:23:50[匿名] 首钢股份2007-03-23 15:19:26女王！！亏死了，汉奸这么无能，我白白腾出资金一个也补上！女王够恨的，北京旅游连个建仓的机会都不给我啊！！[匿名] CCTV2007-03-23 15:19:53妹子，你的000802太厉害，777也很牛呀。=本ID只在梦中说要去北京旅游，醒来才发现原来就在北京，什么北京旅游，本ID不知道，现在正打击庄家，本ID可没那本事当庄家。本ID这里只说梦话，什么都没说。缠中说禅：2007-03-23 15:27:33[匿名] 新年好2007-03-23 15:22:35[匿名] 大盘2007-03-23 15:17:25对于我们小资金散户，我发现如果2-3％的超短差也不想放过的话，估计买入股票的时候就得考虑T+1因素了，不知大家有什么方法，特别在下午2：40点以后，3买或者2买接近形成（出现底背离段了），但是还没有彻底走完的情况下，因为如果次日买入，虽然大涨，但是可能次日就又会出现一个可观的回试低点。如果是当天买入，又害怕3买没有真正形成，继续下探回到原来中枢。昨天和今天600178的表现就是我所表述的一个例子----------我也有大盘同学的这个疑问，我今天是每到一个低点就补一些，这样下来成本是高了点，但是比着踏空好点。==只要你不是买到最低那一笔，总有被套的时候，只要大方向不错就没问题。如果怕，就分两笔，这样就没必要怕了。缠中说禅2007-03-23 15:38:46 [举报][匿名] 缠迷2007-03-23 15:29:56缠妹妹，我是新手，今天大盘5分钟级别13：25那个地方是不是背驰啊？谢谢=不是，是一个最小级别的背驰，然后是一个对称走势拉回中枢，可以看成是原来中枢的一个小级别震荡缠中说禅：2007-03-23 15:33:09[匿名] 塔2007-03-23 15:28:39老大上市既布局的601333,今日派上用场了禅理论告诉我们 601333放量突破上市以来的高点同学们 上啊！！！！！！！！！！！！！！！！！！==对付汉奸的武器多着，其他去年很牛，这几个月严重调整的板块，也会动的。所以前段时间才说，不能光炒三线，比价在那里，靠假消息乱搞，等于帮助汉奸。不过，散户不一定买指标股，因为相对还是慢点，可以多关注10元上下的二线股，只要盘整足够，重新有启动迹象的，都可以关注。缠中说禅：2007-03-23 15:40:49[匿名] 新手却是老粉丝2007-03-23 15:33:36楼主好,我几乎天天都来这看看您们,但最近才有时间学习股票理论.中枢的概念我大致清楚了,可是一旦打开图时就SHA了,图里尽是高高低低的,不知怎么样去找相关的中枢,是目测?还是用"区间统计"?==你首先要搞清楚级别，然后搞清楚中枢定义的递归方法，这是最基础的，课程里都有。缠中说禅：2007-03-23 15:44:46[匿名] 酒吧心情2007-03-23 15:28:02JJ好,今天帮同时练了一下000938,在下午的时候抓了个12.20,虽然不是很精确,但是小有收获.目前的问题是个股配合大盘的问题.如果选择大盘股票,比较稳妥,看图行事.但是如果选择个股,特别是对指数灵敏度高的,在现在的高位,虽然看到小级别买点,但总是怕大盘单边跌,然后在T+1的模式下很难获利.希望JJ 能够指点,怎么样在这种高位踩准节奏.==这几堂课就是说这个问题，你必须有一定的节奏韵律。例如，高位没走，低位去回补等于加仓，这样不好，一定要搞清楚向下段与向上段。特别资金不大的，卖就全买，回补如果信心不足，可以分单回补。只要是先卖的，回补起来就不会害怕了。所以节奏是第一的，你跳舞，节奏全乱，会有好心情、好心态吗？缠中说禅：2007-03-23 15:48:58[匿名] christine2007-03-23 15:42:07对不起，缠主，我的问题不该这么问，二线蓝筹是从沪深300中找还是？能否给个明示。谢谢！==前段时间成分股调整比较多，当然更有机会表现。缠中说禅：2007-03-23 15:53:51[匿名] 缠迷2007-03-23 15:50:46缠妹妹（我40岁了，不知道这么称呼你可以不，呵呵），我想问下，5、15、30、60这几个级别哪个级别发生背驰买股票把握最大。我是新手啊，大家别笑话我问的没有技术含量啊，呵呵。==临走回答一下，事情没有那么机械，还有a+B变成a`+B的情况，你必须把前面的课程看一遍，彻底消化，一两句话没法说清楚。先下，再见。新浪网友：2007-03-23 17:16:18找到一个旧帖++++++++++++++++++++++++++++++++++++++++++++++++喜欢数学的女孩本女的存在至少有一个意义，就是让全世界男人知道自己的无知、无能。为了让全世界男人输得心服口服，本女就设擂台挑战全世界男人，不用男人去生孩子，就用男人自以为是的长期糊弄人的所谓各类知识/技能/学问。擂台既然是本女所设，规则当然也是本女定，本女的地盘当然是本女做主，规则只有一条，上擂者必须一关关过，过不了前面的就没资格继续下去，请走开！另外，本女是中国人，当然只用中文，其它乱七八糟的鸡毛鸭肠，谁爱谁用！第一关：诗：按题步韵本女所写的诗4组，这些诗曾在网上随意帖过，本女写得好的都不会在网上帖的，在本女所写中，这些最多只能算是中驷，但应付男人足够了。4组分别是涵盖历史/现实/情感/悟境，范围应该够了。润之润之年少傲王侯，意气激扬凌九州。万里驱云归狭岛，十年掀浪卷全球。曾经天地齐同力，毕竟英雄不自由。世界三分槐蚁梦，湘江无语水空流。东南东南万里海浮天，一裂金瓯百五年。未葬鱼龙今古血，翻生蛤蜃晓昏烟。华夷衰盛忝唐杰，风雨苍黄思郑贤。十亿神州重抖擞，昆仑拔掷浪波填。出差南昌恰逢中秋灯火喧城人落寞，歌弦酣处独彷徨。满江明月寒如痛，彻夜碧天深似狂。风影楼台风影定，镜花世界镜花长。情迷今古梦犹梦，空首惊回秋半霜。缠中说禅渺渺天涯渺渺秋，绮霞烟水自空流。谁怜西岭西风后，满地相思满地愁！满城风雨满城秋，一水横空天地流。独上孤峰倾百斗，披云啸尽古今愁。一番风雨一番秋，依旧青山枕碧流。溅血长虹贯天地，羲和鞭堕六龙愁。万古长空春复秋，一朝风月乍星流。乱蜂深处斜阳下，木落花飞愁自愁。第二关宗教哲学：这个问题如果顶门有眼的，就知道已经涵盖所有宗教哲学的问题：“法身有三种病、两种光，究竟如何？”本女其后将写大书《缠中说禅》，里面自然涉及。回答不出的就回家参究去！大盘：2007-03-26 14:23:12[匿名] 中枢2007-03-26 13:54:42请教大盘/cctv等学长：对于上周五那一课，有三个疑问：1) 判断Ai+3是否落回Ai高点意义何在？不论是否落回高点，接下来向上的一段都是看它是否背驰而确定是否出掉？----判断Ai+3是否落回Ai高点意义何在，不回落，说明一个中枢也没有形成，也就不可能结束该段上升走势。回落意味形成中枢，以后就可能产生盘整背离或者趋势背离，所以要密切注意，没有中枢，也就没有背离。(注：没有盘背Ai+3不落回Ai高点，表示高级别走势还能继续发展，虽然本段内背驰但还可以继续持有）2) 当Ai+k+3落回Ai+k高点后，Ai+k+4和谁比背驰？Ai+k+2（同级比），还是Ai+k（和中枢之前比）？--------------------回落后，当下的走势段和上一个同类的走势段比较就可以了也就是数学符号表达的意思。（注：大盘同学理解有误，相邻段比较或者与中枢前段比较都允许）3）Ai+k+4之后，又如何开始新的程序？看Ai+k+5落回那个高点？Ai+k+2（机械化操作？），还是A+i+k（中枢高点，看是否落回中枢形成三买？）------------------------Ai+k+4如果盘整背离或者不升破前一上升段高点，就要先出来，然后直到底部盘整背离或者当下下跌低点超过上一下跌段低点。（注：大盘同学超过下跌低点的说法有误，买点为盘整背驰或者不创新低）。至于同级别分解这种机械操作程序的买卖方法与以前中枢观点方法下的3内买卖点之间对应当关系，也正是我需要进一步理解的，这已经在我中午发出的贴子当中提出，并希望大家帮助解答缠中说禅：2007-03-26 15:33:30[匿名] 股虱2007-03-26 15:23:13禅MM：根据您的理论，买点买卖点卖，近期颇有些斩获，但操作中也遇到些问题烦请解答：1、上周五（23日）发现600271的30分钟背驰，5分钟也背驰，符合区间套原理，上午在44元跟进，但下午却随大盘大幅跳水，不知我起初的判断是否有误？后来我发现其图形并未走坏，背驰仍然成立，故在43元左右补仓，不知是否妥当？2、近期发现有买点的股票基本是10元以上的高价股，低价股基本全是卖点，估计下阶段的热点应该是绩优高价股。可以这样估计吗？股虱-这问题已经早说过了。没有真正题材的三线股，监管压力很大。600271周五是1分钟背驰，后面出现反弹，不过力度有限。5分钟当时并没背驰，就算看MACD，也没明显回拉。注意，最好选择周线刚脱离底部的股票，特别那些技术不好的，就算判断错误，也有改正的时候。缠中说禅：2007-03-26 15:35:07[匿名] wsmrzw2007-03-26 15:31:42缠妹妹，600855如何？军工板块又没有动静了，十分担心=板块要轮动的，一天把所有股票都涨完，明天涨什么？缠中说禅：2007-03-26 15:42:21[匿名] whq9992007-03-26 15:33:59今天不关心股市,想请教缠妹一下房市,最好讲上海的,对于穷人来说,何时买比较合适?不希望这边抄股,那边房在涨,白忙了,谢谢=以前写过文章，说房地产一定跌不下去，结果给人骂。本ID说的是事实，你看现在北京的房子，后来怎样？一直涨，根本没有跌过。要房子跌，必须硬着陆，但在国家找到新的增长动力前，政府也有很多忌讳。总之，房价只可能有小调整，大调整，除非中国经济不行了。本ID支持房子的双轨制，一般住房，应该国家或单位建造；高档的才商品化，不走这条路子，房价不可能降下来。=============老大，这双轨制也有问题：国家建，那负责建房的部门可猛贪了；单位建，那有钱的单位又可分房，一人几套，没钱的单位还是歇，为一套房子打破头。呵呵=难道现在的房子里就没有这种因数？现在只是所有人为房地产主管机关等埋单，这其实是一个共有的问题，解决这个问题，是一个更大层面的事情。缠中说禅：2007-03-26 15:47:14[匿名] 中信海直2007-03-26 15:43:23报到。请问mm，这套理论是不是也可以用在欧美的股市中。像美国股市t+0且没有涨跌幅限制，用这套理论是不是要注意一些什么？谢谢。=都一样，没什么区别。期货之所以有点区别，就是因为有交易凭证是即时可变的，股票不存在这个问题。缠中说禅：2007-03-26 15:58:26[匿名] 新浪网友2007-03-26 15:36:32600640,15.42进的,到现在一个礼拜还这价,不知道此股有没有风险,我没有什么消息,毕竟已经大涨过一回了,希望楼主给个指导意见.是不是可以继续持有?=这种题材股，最近都是有点怕监管，图形并不差，暂时用中枢震荡的方法处理，中线还有一波的机会不少，但前期是不要被监管了。
039-第39课.md:147	这几堂课就是说这个问题，你必须有一定的节奏韵律。例如，高位没走，低位去回补等于加仓，这样不好，一定要搞清楚向下段与向上段。特别资金不大的，卖就全买，回补如果信心不足，可以分单回补。只要是先卖的，回补起来就不会害怕了。所以节奏是第一的，你跳舞，节奏全乱，会有好心情、好心态吗？
039-第39课.md:223	2007-03-26 15:23:13禅MM：根据您的理论，买点买卖点卖，近期颇有些斩获，但操作中也遇到些问题烦请解答：1、上周五（23日）发现600271的30分钟背驰，5分钟也背驰，符合区间套原理，上午在44元跟进，但下午却随大盘大幅跳水，不知我起初的判断是否有误？后来我发现其图形并未走坏，背驰仍然成立，故在43元左右补仓，不知是否妥当？
040-第40课.md:64	现在，争夺的市场控制权，丧失筹码不行，唯一正确的就是通过震荡把筹码成本降低，由此可见，本ID理论，其实对大资金一样有效。股票都是废纸，只是吸血凭证，关键是能本成本降低为0才是真正的安全，0以下的，才是真正的利润，才是真正的血。无论散户还是主力，这都是一样的。
040-第40课.md:76	缠中说禅：2007-03-29 21:44:58今天的争斗对于散户来说，确实是一个心理考验，但这是必须的。对于本ID来说，正如中午所说，对金融股先买后卖是唯一正确的选择。汉奸这一招本在预计之中，也是汉奸唯一能使用的招数。如果汉奸连今天这一招都使不出来，本ID会更加蔑视他们。汉奸要阻击上涨，唯一的途径就是昨天说的，让月、季留下长上影，关于最后这两天的斗争，本ID已经提前预告。大部队打仗，伤及无辜，那是没办法的事情。明天是最后一天，汉奸当然希望就势打出长阴，其实，无论什么走势，对于本ID来说都无所谓，因为本ID今天采取了最正确的策略，先买后卖金融股，同时从昨天起对二、三线股进行清洗。对于本ID来说，明天以静制动，先让汉奸出手，大不了再来一次如3000点下的反复震荡，这种活动，汉奸们已经输过一次，不妨再来一次。现在，争夺的市场控制权，丧失筹码不行，唯一正确的就是通过震荡把筹码成本降低，由此可见，本ID理论，其实对大资金一样有效。股票都是废纸，只是吸血凭证，关键是能本成本降低为0才是真正的安全，0以下的，才是真正的利润，才是真正的血。无论散户还是主力，这都是一样的。缠中说禅：2007-03-29 22:06:35[匿名] 新浪网友 2007-03-29 21:52:03
040-第40课.md:78	照妹妹的意思，明天是一场血战，大盘明天有可能会大跌？=不排除这种可能，特别如果是本ID来做空，明天是最好的机会，一个长上影K线后，拉一条长阴，至少可以让很多所谓的技术派痛苦半个月。当然，汉奸有没有这本事是另外的事，市场不是一个人、一个派别的市场，而且市场的走势，很多都是当下发生的，这如同打仗，战机难道能预先知道吗？像今天，汉奸突然发疯，这时候如果去压盘，那就傻了，而是要比汉奸更疯，而当汉奸想回砸时比他砸得更快，这就如同剑客过招，错一步就是万劫不复。里面的工夫深着，哪里有这么简单。缠中说禅：2007-03-29 22:11:51[匿名] 新浪网友 2007-03-29 21:58:43999还有希望吗?-999是某汉奸基金在出货，该汉奸基金，在几元时拿了5000万股，11元上下被赎回，出了2000万，然后这次想出清，换600607，该股票也是该汉奸基金的重仓股票。本ID从来都是顺势而为，别人砸，想让本ID接，门都没有，你想出，可以，低出吧。缠中说禅：2007-03-29 22:14:21[匿名] 漂泊 2007-03-29 22:09:26禅主，您给说说600238，已经底背驰了，昨天进的，怎么还是被套了那-不明白级别，永远也不可能真正明白市场，先想清楚是什么级别的背驰。缠中说禅：2007-03-29 22:20:48[匿名] 麒麟 2007-03-29 22:05:02同时从昨天起对二、三线股进行清洗???二线蓝筹近期还有戏吗?我是刚换到这个板块的,刚冲了一下,就给套住了.妹妹辛苦了!--只要不是过度炒作的题材股，当然没有问题。不过请注意，任何被套的，肯定都不是在买点买的。本ID反复强调过，心态最重要。很多人，明明知道不是买点，就是手痒忍不住，这就是心态问题，不解决这个，任何理论都没用。股票只有两种，买点上的股票都是好股票，否则就是垃圾股票。大级别买点的就是最好的绩优股，耐心等待股票成为真正的绩优股，这才是真正的心态。缠中说禅：2007-03-29 22:26:46[匿名] 波波 2007-03-29 22:09:35那仙女姐姐,我们手里的股票怎么办啊没有金融股票啊==这种心态，怎么在市场上生存。本ID大张旗鼓地介入中行、联通，如果你真喜欢这种股票的，你早就拥有。这些股票，本质上根本不适合散户，因为波动太小，没什么意义。本ID说10元附近的二线股，像000802，难道中行、联通最近还能和他比？先把心态放好，关键不是什么股票，而是买点与卖点，例如，即使是000802，17元上买，至少在这两天就是垃圾股，卖点买点才是最重要的。缠中说禅：2007-03-29 22:30:11[匿名] 摇篮 2007-03-29 22:25:35缠主，那对手下次不是反过来阻击你？==只要你能按照节奏来，没有人能阻击你。像中行、联通，汉奸怎么阻击？本ID筹码不少，成本越来越低，他阻击什么？汉奸有本事就阻击上10元，本ID全部给他们。砸就更没用，你问问他们，今天的高位他们能出多少？市场是有节奏的，把握当下节奏，没有人能战胜你。缠中说禅：2007-03-29 22:33:37[匿名] 新浪网友 2007-03-29 22:21:02看禅主的意思 ,明天难道要割肉斩仓出局吗?==你需要检讨的是，为什么在卖点没卖，而不是去斩什么仓。注意节奏，卖点没卖，活该斩仓，斩在买点，正好瘦身。那些喜欢逆着市场节奏的人，什么时候变皮包骨了，可以上来广而告之，以此警戒后人。缠中说禅：2007-03-29 22:37:58[匿名] 轻风吹断 2007-03-29 22:33:07博主今天有点激动了。您说过修、养、齐、治、平。明天还等着您平呢。离子时不远了，早点休息吧。==本ID喜欢有点水平的对手，今天，汉奸能采取正确的选择，本ID更高兴，这是做空者唯一正确的选择，不过，他们的时机已经不好，所以，只能算垂死一战。至于散户，震荡，正是短差最好的机会，先卖后买，先买后卖，根据向下向上段的节奏来，这是市场考验的机会。缠中说禅：2007-03-29 22:39:45[匿名] 麒麟 2007-03-29 22:36:56缠妹妹,问个傻问题,就是砸盘时,买单为什么不撤了啊?为什么还要傻傻地接别人的货啊?==那你就要问那些喜欢填买单的人了，本ID从来不这样，对手盘这种无聊玩意，本ID从来不干。缠中说禅：2007-03-29 22:43:40[匿名] 粉丝  2007-03-29 22:39:20楼主,您好!忍不住出来冒个泡,,看来汉奸很清楚楼主的这个BLOG也有心来捣乱,我们很担心真的哪天我们在这里见不着您了,咋办呢?或者又如何再去追随您?还有一个低级的问题,39我也有大部分仓位,持它的理由因为前面的贴子和对楼主的信任,而今天,楼主却公开地告诉大家汉奸的动向,我的担心又有了(主要是自己分析得不好):假如汉奸出完货了,是不是也意味着楼主也会将它放了呢?---我们更没得希望了呢?==就算按跌破5日线减仓这最简单的方法，你看看你该什么时候就出点这股票？且不说16.5高开低走的长阴，做股票不讲技术，怎么可能应付？当然，如果你真是中长线持有，那就没必要问那么多，去分析这股票的基本面，你看他该在什么位置？缠中说禅：2007-03-29 22:46:03必须下了，太晚。最后给各位一句话。节奏，永远是市场的节奏，一个没有节奏感的市场参与者，等待他的永远都是折磨，抛开你的贪婪、恐惧，去倾听市场的节奏。再见。
043-第43课.md:126	这没什么，如果有经验，今天可以补仓，弄两次短差成本就下来，这股票经过洗盘，还会上去的，不过需要点时间。
043-第43课.md:226	2007-04-09 16:02:32感谢禅主：1，在群里也跟大家说了目前就是管理层的态度了，到了现在，多数主力还是要奋力向上的。2 ，感谢平安在起爆点起爆，一般它调整一两天还会继续向上的，我的感觉，不知道对否？3，大盘某个阶段，首日上市的新股，还是有特殊的地方的，比如招商轮船，也是在大家认为点位比较高的时候。我发现，首日上市新股，看30分钟的K线，如果后三条K线的价位在第一个K线高位的1/3以上位置，而第一个30分钟换手很高，这样的个股都有机会，比如 招商轮船，金陵饭店，ST仁和也是这样的情况，我说的这个判断方法也在群内告诉大家了，昨天也有人跟我一起在低位买了金陵饭店，今天上午我也补了很多。请禅主帮我分析下，我对首日上市新股的说法，是否正确？要注意什么？ 因为我在群里跟大家说过，请禅主给点分析，别让我影响了大家！感谢禅主！==
043-第43课.md:248	2007-04-09 16:07:10缠主你好!现在的股票已经涨的变成搏傻游戏了,不知道未来要跌5年够不够?50倍的市赢率了.透支了好多年的.我现在是满仓,但是心理认为我们做的股票真的是废纸.未来大盘一旦见大顶就麻烦缠主提个醒.谢谢!
044-第44课.md:142	至于大盘，没什么可说的，测顶的人是最无耻的，按他们的预测，他们早就尸骨无存了，还好意思出来晃？顶是干出来的，而不是测出来的，连这个最简单的道理都不懂？还是那句话，看不明白的就看5日线，技术好的，可以充分利用震荡先卖后买打短差、换股，但绝对不能追高。现在能打住大盘的，只能是管理层的大棒，否则，大盘将继续走到资金与筹码的能量平衡位置才能停下来休整，而这个位置是不可预测的，是干出来的。心态不好、心脏不好的，就半仓，这样出现什么情况都好办了。
044-第44课.md:152	2007-04-11 15:41:59MM，607怎样，你说让大家去吸汉奸血，我买了。=买了就好，汉奸基金在13元附近加仓，没买的就算了，没必须追高为汉奸抬轿子。到时候上去后，找机会把汉奸折腾一把。
044-第44课.md:154	**买了就好，汉奸基金在13元附近加仓，没买的就算了，没必须追高为汉奸抬轿子。到时候上去后，找机会把汉奸折腾一把。**
044-第44课.md:242	2007-04-11 16:10:58缠姐，昨天加仓了600598北大荒，按日线级别操作的。今天有所表现，能帮我看一下我分析的正确吗？
044-第44课.md:310	2007-04-11 16:02:53妹妹,你资金量这么大,干出顶后怎么出货啊?用不用事先~~~另我按妹妹提示的大方向买的000912,怎么不涨啊?谢谢妹妹!好几天都没回答俺的问题了
045-第45课.md:40	多次强调，一条5日线就比所有测顶大师要厉害1万倍，连5日线都不破的走势，你还有什么可担心的？当然，如果你技术可以，每天都可以利用震荡来换股、打差价。如果技术不行，就看5日线吧。至于那些测顶大师，那就继续伸长脖子等大阴线吧，真出大阴线，你们也不敢买，最多就忽悠自己怎么厉害，知道一定会调整，可惜，这些人从2000点、3000点就一直说调整，2月27日也只让你们高兴了一天，你们那天敢买吗？大阴线又和你们有什么关系？现在空仓的，唯一办法就去反省，看是什么心态造成的。偷心不死，自然有这样的结果。有这么大的头，才带那么大的帽子，顶都给你们测去了，本ID之类的人吃什么？
045-第45课.md:42	本周当然会有震荡，这就像说面首都是男的一样没意义，关键是如何通过震荡减低成本，而不是把震荡当成自己预测如何准确的谈资。股票如面首，是用来操作的，不是用来谈论的。目前，关键还是管理层的态度，只要他们的态度没有明确的打压，那就不会有任何大问题。操作上，追高就没必要了，空仓的就看着吧，好好反省；其余技术不好的，继续看5日线，技术好的，看好1分钟、5分钟的小背驰做震荡。
046-第46课.md:142	2007-04-18 16:07:30天啊，我得跳着留级了！！元旦到现在我才刚刚解套赢利！半仓银行股，严重踏错节奏！股票个数分散，也属缠姐说的小资金的大忌！55555555555缠姐，现在还来得及纠正吗？要不要现在把手头股票逐个清仓，然后单做一两个股？请缠姐指示纠正方法。
048-第48课.md:174	今天突然很紧张，最终把所有股票卖出，空仓过夜，然而刚刚卖出600005随即它就大涨接近涨停。主要是下边的缺口太大了，最近几天又风传肯定要回补缺口，而个股面临一个20％跌幅的大调整，即使我做中线，这样的起伏也要不得。看图操作，但我的情况女王应该了解，我白天无法看图，更是电话委托，咱打不起短差也跑不快。不能跟大盘赌明天。
049-第49课.md:194	站在大级别的年市的前提下，我们降低成本与赚取更多筹码是否可以更激进些？譬如现在看好某几只或者某只股票，现在开始有机会就先赚筹码，赚他个N多，然后等到该股票价格翻到一定程度时，再抛掉50%（或者80%等），这样做是不是盈利更快？另外在底部赚筹码成本也低些？毕竟我是小散，投入股市的钱也不会上千万更不会上亿。不会筹码赚着赚着赚成大股东的。
050-第50课.md:136	==这问题不早说过了，第一阶段，科技股都不是主角。但对于本ID这类资金来说，不可能让本ID在第二阶段再去占位置吧。资金量不同，操作当然不同。
050-第50课.md:240	2007-05-08 16:32:19神仙姐姐，缠理论我学来学去总是糊涂，现在的做法就是：最初低价买的股票我都舍不得丢，现在基本是用固定一部分资金来做差价，不断买入卖出。基本上天天满仓，卖了的钱就买手中已有的但当天调整的股票（都是姐姐的股票）。
051-第51课.md:414	空头的这种反攻,当然不纯粹在市场面上,还有政策上的反攻,这完全都在本ID的剧本之中,大家现在可以再次体会10日文章中的这句话:"而今天5月，是1429点以来的180个月，360的一半，一个极为重要的时间之窗，其后，不发生点事情，显然是不可能的。"
051-第51课.md:422	请再次重温本ID10日文章的最后一段:"无论市场最终如何选择，都不过构成超级大牛市的一个小片段。该1/2线是新旧两种模式的分水岭，一旦有效突破这每年上涨180点、一直控制大盘十几年的压力线，就能把该线有效转化成其后行情发展最坚实的底部支持。突破是迟早的事，而基础打得越扎实，对行情发展越有利。"
