derived_type	level	side	seg_a_start	seg_a_end	c_start	b_center_start	kind	prod_observed_at	p409_observed_at	completion_as_of	completed_seg_c_end	cstart_to_completion	structural_seg_c_span	completion_visibility_lag	p409_last_observed_at	p409_extra_after_completion	p409_state	p409_reason	p409_first_provable_at	p409_invalidated_at	p409_revisions	completion_branch
PanConsolidation/L1(lower=parser-Segment)	1	Short	1205	1334	1727	1352	Consolidation	1909	1909	1909	1852	182	125	57	2046	137	Invalidated	Some(IdentityVanished)	Some(1909)	Some(2047)	140	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	2460	2551	2915	2551	Consolidation	3288	3288	3288	3015	373	100	273	7077	3789	Invalidated	Some(ForceOvertake)	Some(3288)	Some(7077)	3792	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	3064	3223	4184	3223	Consolidation	4479	4479	4479	4394	295	210	85	7076	2597	Invalidated	Some(ForceOvertake)	Some(4479)	Some(7076)	2600	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	3351	3411	4756	3484	Consolidation	5170	5170	5170	5119	414	363	51	7356	2186	Invalidated	Some(ForceOvertake)	Some(5170)	Some(7356)	2189	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	6747	6784	6854	5909	Consolidation	6928	6928	6928	6897	74	43	31	7033	105	Invalidated	Some(ForceOvertake)	Some(6928)	Some(7033)	108	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	9726	9804	10051	9400	Consolidation	10590	10590	10590	10549	539	498	41	10715	125	Invalidated	Some(ForceOvertake)	Some(10590)	Some(10715)	128	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	10051	10115	10640	10235	Consolidation	11098	11098	11098	11043	458	403	55	11188	90	Invalidated	Some(ForceOvertake)	Some(11098)	Some(11188)	93	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	10640	10672	11096	10750	Consolidation	11257	11257	11257	11233	161	137	24	99999	88742	Provisional	None	None	None	88743	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	13291	13892	13908	12513	Consolidation	14226	14226	14226	14170	318	262	56	17859	3633	Invalidated	Some(ForceOvertake)	Some(14226)	Some(17859)	3636	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	13908	14170	14955	14193	Consolidation	15445	15445	15445	15402	490	447	43	15448	3	Invalidated	Some(IdentityVanished)	None	Some(15449)	5	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	13908	14170	15441	14193	Consolidation	15789	15789	15789	15738	348	297	51	15969	180	Invalidated	Some(ForceOvertake)	Some(15789)	Some(15969)	183	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	14389	14567	15441	14709	Consolidation	15984	15984	15984	15738	543	297	246	99999	84015	Provisional	None	None	None	84016	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	16182	16275	16724	16283	Consolidation	16903	16903	16903	16863	179	139	40	17861	958	Invalidated	Some(ForceOvertake)	Some(16903)	Some(17861)	961	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	16372	16599	17170	16724	Consolidation	17447	17447	17447	17255	277	85	192	99999	82552	Provisional	None	None	None	82553	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	16724	16863	16968	16283	Consolidation	17103	17103	17103	17018	135	50	85	17244	141	Invalidated	Some(ForceOvertake)	Some(17103)	Some(17244)	144	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	16968	17018	17170	16283	Consolidation	17297	17297	17297	17255	127	85	42	17446	149	Invalidated	Some(IdentityVanished)	None	Some(17447)	151	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	16968	17018	17399	17031	Consolidation	17512	17512	17512	17446	113	47	66	17734	222	Invalidated	Some(ForceOvertake)	Some(17512)	Some(17734)	225	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	17170	17255	17785	17399	Consolidation	18044	18044	18044	18007	259	222	37	99999	81955	Provisional	None	None	None	81956	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	17514	17581	18390	17785	Consolidation	18485	18485	18485	18447	95	57	38	18863	378	Invalidated	Some(ForceOvertake)	Some(18485)	Some(18863)	381	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	18101	18210	18648	18390	Consolidation	18893	18893	18893	18868	245	220	25	99999	81106	Provisional	None	None	None	81107	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	19682	19769	19830	19170	Consolidation	19911	19911	19911	19855	81	25	56	20561	650	Invalidated	Some(ForceOvertake)	Some(19911)	Some(20561)	653	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	19830	19855	20048	19170	Consolidation	20146	20146	20146	20105	98	57	41	20225	79	Invalidated	Some(ForceOvertake)	Some(20146)	Some(20225)	82	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	19830	19855	20356	20048	Consolidation	20496	20496	20496	20452	140	96	44	99999	79503	Provisional	None	None	None	79504	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	20356	20452	20613	20048	Consolidation	20720	20720	20720	20668	107	55	52	21033	313	Invalidated	Some(ForceOvertake)	Some(20720)	Some(21033)	316	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	22251	22312	22830	22524	Consolidation	22912	22912	22912	22889	82	59	23	99999	77087	Provisional	None	None	None	77088	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	23560	23825	24334	23954	Consolidation	24617	24617	24617	24543	283	209	74	25120	503	Invalidated	Some(ForceOvertake)	Some(24617)	Some(25120)	506	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	24931	24965	25346	25090	Consolidation	25544	25544	25544	25412	198	66	132	99999	74455	Provisional	None	None	None	74456	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	25200	25295	25520	25303	Consolidation	25953	25953	25953	25543	433	23	410	26207	254	Invalidated	Some(ForceOvertake)	Some(25953)	Some(26207)	257	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	27008	27177	27762	27250	Consolidation	27940	27940	27940	27872	178	110	68	99999	72059	Provisional	None	None	None	72060	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	27455	27633	27905	27633	Consolidation	28351	28351	28351	28179	446	274	172	99999	71648	Provisional	None	None	None	71649	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	29393	29456	30062	29481	Consolidation	30224	30224	30224	30165	162	103	59	99999	69775	Provisional	None	None	None	69776	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	29707	29753	30228	29852	Consolidation	30294	30294	30294	30266	66	38	28	30949	655	Invalidated	Some(ForceOvertake)	Some(30294)	Some(30949)	658	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	30062	30165	30441	30193	Consolidation	30590	30590	30590	30566	149	125	24	99999	69409	Provisional	None	None	None	69410	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	32091	32117	32475	32117	Consolidation	32893	32893	32893	32644	418	169	249	99999	67106	Provisional	None	None	None	67107	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	32165	32356	32855	32475	Consolidation	33261	33261	33261	33111	406	256	150	34331	1070	Invalidated	Some(ForceOvertake)	Some(33261)	Some(34331)	1073	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	35993	36075	36254	35687	Consolidation	36373	36373	36373	36320	119	66	53	36680	307	Invalidated	Some(ForceOvertake)	Some(36373)	Some(36680)	310	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	36254	36320	36914	36413	Consolidation	37288	37288	37288	37195	374	281	93	99999	62711	Provisional	None	None	None	62712	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	38907	38983	39312	38983	Consolidation	39648	39648	39648	39574	336	262	74	99999	60351	Provisional	None	None	None	60352	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	39312	39574	39663	38983	Consolidation	40029	40029	40029	39984	366	321	45	40389	360	Invalidated	Some(ForceOvertake)	Some(40029)	Some(40389)	363	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	41204	41243	41922	41414	Consolidation	42067	42067	42067	42035	145	113	32	99999	57932	Provisional	None	None	None	57933	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	42239	42315	42759	42339	Consolidation	42898	42898	42898	42841	139	82	57	99999	57101	Provisional	None	None	None	57102	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	42239	42315	42928	42339	Consolidation	43244	43244	43244	42998	316	70	246	43397	153	Invalidated	Some(ForceOvertake)	Some(43244)	Some(43397)	156	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	42239	42315	43341	42339	Consolidation	43441	43441	43441	43397	100	56	44	99999	56558	Provisional	None	None	None	56559	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	44699	44801	45108	44825	Consolidation	45396	45396	45396	45356	288	248	40	45835	439	Invalidated	Some(ForceOvertake)	Some(45396)	Some(45835)	442	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	48568	48736	48920	48081	Consolidation	49380	49380	49380	49320	460	400	60	99999	50619	Provisional	None	None	None	50620	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	50905	51004	51565	51146	Consolidation	51752	51752	51752	51723	187	158	29	52039	287	Invalidated	Some(ForceOvertake)	Some(51752)	Some(52039)	290	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	51815	51955	52639	52121	Consolidation	52881	52881	52881	52815	242	176	66	55645	2764	Invalidated	Some(ForceOvertake)	Some(52881)	Some(55645)	2767	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	52475	52545	52841	52545	Consolidation	53073	53073	53073	52957	232	116	116	99999	46926	Provisional	None	None	None	46927	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	53182	53263	53936	53427	Consolidation	54173	54173	54173	53994	237	58	179	99999	45826	Provisional	None	None	None	45827	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	54481	54652	54963	54696	Consolidation	55219	55219	55219	55030	256	67	189	55257	38	Invalidated	Some(ForceOvertake)	Some(55219)	Some(55257)	41	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	54481	54652	55137	54696	Consolidation	55219	55219	55219	55193	82	56	26	55427	208	Invalidated	Some(ForceOvertake)	Some(55219)	Some(55427)	211	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	55137	55193	55578	55203	Consolidation	55845	55845	55845	55820	267	242	25	99999	44154	Provisional	None	None	None	44155	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	55578	55632	56072	55659	Consolidation	56300	56300	56300	56180	228	108	120	99999	43699	Provisional	None	None	None	43700	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	56072	56180	56425	55659	Consolidation	56510	56510	56510	56457	85	32	53	56618	108	Invalidated	Some(ForceOvertake)	Some(56510)	Some(56618)	111	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	56544	56635	57133	56635	Consolidation	57536	57536	57536	57205	403	72	331	99999	42463	Provisional	None	None	None	42464	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	56839	57052	57531	57133	Consolidation	58022	58022	58022	57983	491	452	39	99999	41977	Provisional	None	None	None	41978	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	57531	57657	58709	57677	Consolidation	58942	58942	58942	58899	233	190	43	58994	52	Invalidated	Some(ForceOvertake)	Some(58942)	Some(58994)	55	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	58709	58899	59453	58899	Consolidation	59541	59541	59541	59517	88	64	24	99999	40458	Provisional	None	None	None	40459	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	61023	61090	61825	61440	Consolidation	62059	62059	62059	62036	234	211	23	99999	37940	Provisional	None	None	None	37941	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	65046	65096	65356	65096	Consolidation	65488	65488	65488	65448	132	92	40	99999	34511	Provisional	None	None	None	34512	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	65356	65376	65516	65096	Consolidation	65568	65568	65568	65537	52	21	31	99999	34431	Provisional	None	None	None	34432	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	65575	65618	66077	65627	Consolidation	66281	66281	66281	66190	204	113	91	99999	33718	Provisional	None	None	None	33719	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	66077	66190	66368	65627	Consolidation	66513	66513	66513	66459	145	91	54	66719	206	Invalidated	Some(IdentityVanished)	None	Some(66720)	208	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	66368	66410	67110	66433	Consolidation	67210	67210	67210	67179	100	69	31	67403	193	Invalidated	Some(ForceOvertake)	Some(67210)	Some(67403)	196	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	67810	67871	68505	68030	Consolidation	68867	68867	68867	68825	362	320	42	99999	31132	Provisional	None	None	None	31133	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	69279	69347	69803	69347	Consolidation	70395	70395	70395	69888	592	85	507	70449	54	Invalidated	Some(ForceOvertake)	Some(70395)	Some(70449)	57	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	69279	69347	69999	69347	Consolidation	70395	70395	70395	70322	396	323	73	70449	54	Invalidated	Some(ForceOvertake)	Some(70395)	Some(70449)	57	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	69525	69669	69803	68917	Consolidation	69971	69971	69971	69888	168	85	83	70189	218	Invalidated	Some(ForceOvertake)	Some(69971)	Some(70189)	221	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	69525	69669	70396	69803	Consolidation	70794	70794	70794	70632	398	236	162	99999	29205	Provisional	None	None	None	29206	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	69999	70322	71123	70396	Consolidation	71239	71239	71239	71195	116	72	44	71698	459	Invalidated	Some(ForceOvertake)	Some(71239)	Some(71698)	462	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	69999	70322	71236	70396	Consolidation	71333	71333	71333	71266	97	30	67	71447	114	Invalidated	Some(IdentityVanished)	Some(71333)	Some(71448)	117	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	70784	71033	71236	71033	Consolidation	71448	71448	71448	71266	212	30	182	72210	762	Invalidated	Some(ForceOvertake)	Some(71448)	Some(72210)	765	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	71236	71266	71341	71033	Consolidation	71448	71448	71448	71416	107	75	32	99999	28551	Provisional	None	None	None	28552	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	71341	71416	71812	71423	Consolidation	71938	71938	71938	71911	126	99	27	72079	141	Invalidated	Some(ForceOvertake)	Some(71938)	Some(72079)	144	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	73632	73719	73947	73336	Consolidation	74355	74355	74355	74304	408	357	51	74355	0	Invalidated	Some(IdentityVanished)	None	Some(74356)	2	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	73947	74040	74526	74053	Consolidation	74698	74698	74698	74621	172	95	77	99999	25301	Provisional	None	None	None	25302	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	74348	74384	74748	74488	Consolidation	75303	75303	75303	74874	555	126	429	99999	24696	Provisional	None	None	None	24697	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	74526	74621	74748	74053	Consolidation	74920	74920	74920	74874	172	126	46	75302	382	Invalidated	Some(IdentityVanished)	None	Some(75303)	384	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	74526	74621	75281	74621	Consolidation	75534	75534	75534	75470	253	189	64	99999	24465	Provisional	None	None	None	24466	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	75916	75979	76474	76060	Consolidation	76874	76874	76874	76706	400	232	168	99999	23125	Provisional	None	None	None	23126	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	77333	77473	77817	77473	Consolidation	78029	78029	78029	77955	212	138	74	78121	92	Invalidated	Some(ForceOvertake)	Some(78029)	Some(78121)	95	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	77602	77675	78258	77817	Consolidation	78389	78389	78389	78324	131	66	65	80461	2072	Invalidated	Some(ForceOvertake)	Some(78389)	Some(80461)	2075	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	78992	79217	79384	78499	Consolidation	79638	79638	79638	79510	254	126	128	99999	20361	Provisional	None	None	None	20362	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	79384	79510	80193	79510	Consolidation	80534	80534	80534	80477	341	284	57	99999	19465	Provisional	None	None	None	19466	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	80815	80880	81297	80928	Consolidation	81652	81652	81652	81489	355	192	163	99999	18347	Provisional	None	None	None	18348	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	85252	85365	85727	85365	Consolidation	85829	85829	85829	85804	102	77	25	86365	536	Invalidated	Some(ForceOvertake)	Some(85829)	Some(86365)	539	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	85533	85563	86483	85727	Consolidation	86879	86879	86879	86799	396	316	80	87022	143	Invalidated	Some(IdentityVanished)	Some(86879)	Some(87023)	146	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	85876	86082	86483	86082	Consolidation	87023	87023	87023	86799	540	316	224	87141	118	Invalidated	Some(ForceOvertake)	Some(87023)	Some(87141)	121	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	85876	86082	86836	86082	Consolidation	87023	87023	87023	86948	187	112	75	87318	295	Invalidated	Some(ForceOvertake)	Some(87023)	Some(87318)	298	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	87389	87502	87663	87502	Consolidation	88115	88115	88115	87716	452	53	399	88303	188	Invalidated	Some(ForceOvertake)	Some(88115)	Some(88303)	191	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	87537	87573	87663	87299	Consolidation	87806	87806	87806	87716	143	53	90	87929	123	Invalidated	Some(ForceOvertake)	Some(87806)	Some(87929)	126	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	87924	88053	88272	88069	Consolidation	88401	88401	88401	88300	129	28	101	88862	461	Invalidated	Some(ForceOvertake)	Some(88401)	Some(88862)	464	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	89093	89155	89636	89241	Consolidation	89958	89958	89958	89729	322	93	229	94003	4045	Invalidated	Some(ForceOvertake)	Some(89958)	Some(94003)	4048	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	89334	89578	89953	89605	Consolidation	90166	90166	90166	89974	213	21	192	99999	9833	Provisional	None	Some(90166)	None	9835	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	89636	89729	90276	89953	Consolidation	90442	90442	90442	90400	166	124	42	90653	211	Invalidated	Some(ForceOvertake)	Some(90442)	Some(90653)	214	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	90118	90164	90471	90164	Consolidation	90687	90687	90687	90647	216	176	40	94002	3315	Invalidated	Some(ForceOvertake)	Some(90687)	Some(94002)	3318	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	91362	91581	92190	91680	Consolidation	92458	92458	92458	92411	268	221	47	99999	7541	Provisional	None	None	None	7542	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Short	92759	92905	93510	92948	Consolidation	93636	93636	93636	93582	126	72	54	93809	173	Invalidated	Some(ForceOvertake)	Some(93636)	Some(93809)	176	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
